iter	RMSE
0	15.19227815
1	15.09779064
2	14.99298274
3	14.89996345
4	14.81814125
5	14.7290594
6	14.65093021
7	14.55960509
8	14.48645477
9	14.39294083
10	14.30955186
11	14.22125239
12	14.13538959
13	14.0455202
14	13.95905162
15	13.87306639
16	13.79023769
17	13.70806157
18	13.62483205
19	13.54951821
20	13.4699877
21	13.39157817
22	13.31003787
23	13.22922379
24	13.15710832
25	13.07212043
26	12.99631068
27	12.92360506
28	12.84611346
29	12.76893256
30	12.6969194
31	12.61966767
32	12.5459456
33	12.4735325
34	12.40452382
35	12.33735386
36	12.26501468
37	12.19586033
38	12.12602357
39	12.05872684
40	11.9922577
41	11.93685541
42	11.87670333
43	11.80620652
44	11.73877982
45	11.68150577
46	11.62441825
47	11.56200209
48	11.50318995
49	11.43576608
50	11.37303199
51	11.31783779
52	11.25271265
53	11.18981179
54	11.12663809
55	11.07546525
56	11.02278424
57	10.96129452
58	10.89899534
59	10.83968356
60	10.78951049
61	10.73075784
62	10.67109007
63	10.6135987
64	10.55910508
65	10.51039778
66	10.46145727
67	10.40719562
68	10.35725029
69	10.30883404
70	10.26254059
71	10.21023258
72	10.16012622
73	10.10939749
74	10.06167155
75	10.01576411
76	9.969202686
77	9.919655202
78	9.870465646
79	9.821943146
80	9.770587946
81	9.722837262
82	9.67499611
83	9.622664365
