iter	Passed	Remaining
0	0	97
1	2	115
2	4	143
3	6	152
4	8	158
5	10	163
6	12	166
7	14	165
8	16	167
9	18	162
10	19	157
11	20	152
12	22	151
13	24	151
14	25	147
15	26	141
16	28	140
17	30	138
18	32	137
19	33	135
20	35	134
21	37	132
22	39	130
23	40	129
24	42	127
25	44	126
26	46	124
27	48	124
28	49	121
29	51	119
30	53	118
31	55	116
32	56	115
33	58	113
34	60	112
35	62	110
36	63	108
37	65	107
38	67	105
39	68	103
40	69	100
41	70	97
42	72	95
43	73	93
44	74	91
45	76	90
46	78	88
47	80	86
48	81	84
49	82	82
50	84	81
51	85	79
52	87	77
53	88	75
54	90	74
55	91	72
56	93	70
57	94	68
58	95	66
59	97	64
60	98	63
61	99	61
62	101	59
63	102	57
64	103	55
65	104	53
66	105	52
67	107	50
68	108	48
69	109	47
70	111	45
71	112	43
72	113	41
73	114	40
74	116	38
75	117	37
76	119	35
77	120	34
78	122	32
79	123	30
80	124	29
81	125	27
82	127	26
83	128	24
84	129	22
85	131	21
86	132	19
87	133	18
88	134	16
89	136	15
90	137	13
91	138	12
92	139	10
93	140	8
94	141	7
95	142	5
96	143	4
97	144	2
98	146	1
99	147	0
